ICPSR_ID,Congress,Party,State,District,LastName,FirstName,NumChildren,NumDaughters,NumSons,Female,AAUWrating
15072,110,D,NEW YOR,10,TOWNS,Edolphus,2,1,1,0,100
15630,110,R,NEW YOR,25,WALSH,James,3,1,2,0,55
29745,110,D,NORTH C,2,ETHERIDG,Bob,3,1,2,0,100
20521,110,R,NORTH C,5,FOXX,Virginia,1,1,0,1,10
29929,110,R,NORTH C,8,HAYES,Robin,2,1,1,0,70
29546,110,R,NORTH C,3,JONES,Walter,1,1,0,0,60
15438,110,D,NORTH C,4,PRICE,David,2,1,1,0,100
20737,110,D,NORTH C,11,SHULER,Heath,2,1,1,0,80
29383,110,D,NORTH C,12,WATT,Melvin,2,0,2,0,100
29384,110,D,NORTH D,1,POMEROY,Earl,2,1,1,0,100
29137,110,R,OHIO,8,BOEHNER,John,2,2,0,0,10
